Device	Assay Name	AssayType	AssayTypeCode	Species	Name	UnitsSystem	Units	dblConversionFactor	nPrecision	VeryLow	Low	High	VeryHigh					
Catalyst Dx	albumin	ALB	ALB	Llama	Llama	S.I.	g/L			-9999999	1.7	3.7	9999999					
Catalyst Dx	albumin	ALB	ALB	Monkey	Monkey	English	g/dL			1.1	2.8	4.4	5.5					
Catalyst Dx	albumin	ALB	ALB	Monkey	Monkey	French	g/L			1.1	2.8	4.4	5.5					
Catalyst Dx	albumin	ALB	ALB	Monkey	Monkey	S.I.	g/L			1.1	2.8	4.4	5.5					
Catalyst Dx	albumin	ALB	ALB	Mouse	Mouse	English	g/dL			0.9	2.5	4.8	6.1					
Catalyst Dx	albumin	ALB	ALB	Mouse	Mouse	French	g/L			0.9	2.5	4.8	6.1					
Catalyst Dx	albumin	ALB	ALB	Mouse	Mouse	S.I.	g/L			0.9	2.5	4.8	6.1					
Catalyst Dx	albumin	ALB	ALB	Other	Other	English	g/dL			-9999999	-9999999	9999999	9999999					
Catalyst Dx	albumin	ALB	ALB	Other	Other	French	g/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	albumin	ALB	ALB	Other	Other	S.I.	g/L			-9999999	-9999999	9999999	9999999					
Catalyst Dx	albumin	ALB	ALB	Pig	Pig	English	g/dL			0.7	1.8	3.3	4.2					
Catalyst Dx	albumin	ALB	ALB	Pig	Pig	French	g/L			0.7	1.8	3.3	4.2					
Catalyst Dx	albumin	ALB	ALB	Pig	Pig	S.I.	g/L			0.7	1.8	3.3	4.2					
Catalyst Dx	albumin	ALB	ALB	Rabbit	Rabbit	English	g/dL			1	2.7	4.6	5.8					
Catalyst Dx	albumin	ALB	ALB	Rabbit	Rabbit	French	g/L			1	2.7	4.6	5.8					
Catalyst Dx	albumin	ALB	ALB	Rabbit	Rabbit	S.I.	g/L			1	2.7	4.6	5.8					
Catalyst Dx	albumin	ALB	ALB	Rat	Rat	English	g/dL			1.4	3.8	4.8	6.1					
Catalyst Dx	albumin	ALB	ALB	Rat	Rat	French	g/L			1.4	3.8	4.8	6.1					
Catalyst Dx	albumin	ALB	ALB	Rat	Rat	S.I.	g/L			1.4	3.8	4.8	6.1					
Catalyst Dx	albumin	ALB	ALB	Sea Turtle	Sea Turtle	English	g/dL			-9999999	0.975	2.45	9999999					
Catalyst Dx	albumin	ALB	ALB	Sea Turtle	Sea Turtle	French	g/L			-9999999	0.975	2.45	9999999					
Catalyst Dx	albumin	ALB	ALB	Sea Turtle	Sea Turtle	S.I.	g/L			-9999999	0.975	2.45	9999999					
Catalyst Dx	albumin	ALB	ALB	Sheep	Sheep	English	g/dL			0.9	2.4	3.7	4.7					
Catalyst Dx	albumin	ALB	ALB	Sheep	Sheep	French	g/L			0.9	2.4	3.7	4.7					
Catalyst Dx	albumin	ALB	ALB	Sheep	Sheep	S.I.	g/L			0.9	2.4	3.7	4.7					
